0.107 0.428 0.537 0.632 0.802 1.199 1.186 1.384 1.521 1.623  2.18 2.147 2.319 2.484 2.864 2.778 3.179 3.362 3.796  3.82 4.714 4.233 4.478 4.696 4.815 4.714 4.876 5.057 5.524 5.512 5.939 5.993 6.034 6.527 6.672 6.766 6.698  7.02 7.566 7.952 9.797 7.714 8.418 8.442 8.783  8.47 8.528 9.182  9.53 9.596 9.875 9.544     0     0     0     0     0     0     0     0
           1         0.38         0.36        0.375        0.244     0.436667     0.425714       0.4075          0.4        0.508     0.429091     0.493333     0.472308     0.535714     0.477333       0.5175     0.536471     0.568889     0.552632        0.552     0.580952     0.578182     0.571304       0.5875       0.5856     0.631538     0.634815     0.651429     0.603448        0.602     0.660645     0.666875     0.654545     0.643529     0.637714     0.667222     0.685946     0.678947      0.67641       0.6835     0.647805     0.672381     0.655349     0.668182     0.667556     0.668261      0.68766      0.71375     0.686122       0.6896     0.692941     0.690293            0            0            0            0            0            0            0 4.17201e-308
           1     0.180147     0.158133     0.304662     0.254937     0.340289     0.287806     0.296768     0.277727     0.410341      0.39195     0.400546     0.434853     0.449488      0.43698     0.445223     0.458172     0.469329      0.47374     0.493135     0.498021     0.481223     0.491958     0.504515     0.504969     0.543739     0.564722     0.553409     0.534928     0.544408     0.582842     0.588824     0.574849     0.587823      0.58553     0.598464     0.602034     0.589604     0.582258     0.601769     0.597652     0.613349     0.623478     0.615929     0.602199     0.603583      0.62557     0.638858     0.610691     0.620728     0.622749     0.628222            0            0            0            0            0            0            0 4.17201e-308
    0.468335     0.241633     0.166197     0.289825     0.238916     0.269167      0.21155     0.221691     0.196102     0.247331     0.243508     0.236277     0.249516     0.256698     0.241231     0.251598      0.26109     0.252324     0.241415     0.252846     0.254378     0.244726     0.250284     0.257824     0.249352     0.262004     0.268783     0.268916     0.252616      0.25408     0.266971     0.265515     0.259767     0.261888     0.262473     0.265645     0.266721     0.261505     0.254222      0.26478     0.259461      0.25994      0.26375     0.260828     0.254886     0.256295     0.259116     0.262857     0.251461     0.254747     0.252766      0.25656            0            0            0            0            0            0            0 4.17201e-308
    0.637913     0.206408     0.162065     0.297058     0.246667     0.300578     0.243856     0.253794     0.229884     0.308634     0.300391     0.297225     0.317089     0.326777     0.310857     0.321509      0.33263     0.328199     0.319841     0.334291     0.336751     0.324452     0.331777     0.341255      0.33385     0.353616     0.364215      0.36195     0.343171     0.346463     0.366203     0.365994     0.357834     0.362344     0.362465      0.36796     0.369668     0.362314     0.353918     0.367749     0.361837     0.365135     0.370687     0.366468     0.358173     0.359808     0.366447     0.372464     0.356237     0.361241     0.359582     0.364331            0            0            0            0            0            0            0 4.17201e-308
          50            4            6            7            8           11           13           13           14           21           20           23           25           25           29           27           27           32           38           37           40           40           40           39           45           48           52           47           52           53           57           60           60           64           62           65           66           66           70           68           73           80           82           80           79           78           86           89           89           90           94           92            0            0            0            0            0            0            0 4.17201e-308
          49            5            6            7            8           11           13           13           14           20           19           22           25           24           28           27           27           32           38           37           40           40           40           39           45           48           53           47           52           53           56           60           60           65           61           65           66           66           70           69           72           80           83           80           79           77           85           90           88           90           94           94            0            0            0            0            0            0            0 4.17201e-308
           0           21            1            5            2            4           15           20            8           25           41           15            1           30           45            1            2           12            0           33           13           41           53            3            5           40           66            6            1           22           69            8            4           23           19           11           30           22           17           23           14            5           39            7           13           15           21           23           24            1           22           84            0            0            0            0            0            0            0 4.17201e-308
